workload_id,axis,scale_value,execution_index,trial,wall_ms,cpu_ms
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,1,81.830991,86.323071
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,2,91.198739,96.214998
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,3,89.300294,94.210422
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,4,84.982576,89.653027
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,5,81.555461,86.032768
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,6,87.594584,92.413167
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,7,93.611,98.752704
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,8,87.216409,92.004804
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,9,99.753995,105.248819
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,10,100.298618,105.821303
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,1,6.538082,6.896061
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,2,8.422332,8.886111
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,3,6.882434,7.261407
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,4,6.455083,6.810667
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,5,6.000817,6.331216
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,6,6.929603,7.310856
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,7,6.111027,6.447612
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,8,6.725192,7.09487
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,9,6.43672,6.791305
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,10,6.101951,6.437856
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,1,10.785598,11.261766
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,2,11.714683,12.232425
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,3,10.26139,10.715228
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,4,12.340144,12.868134
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,5,11.292917,11.794785
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,6,10.72276,11.199527
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,7,12.499821,13.055447
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,8,11.222401,11.721398
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,9,10.636733,11.109721
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,10,10.766308,11.244392
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,1,33.355258,35.19346
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,2,34.299322,36.192734
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,3,33.324182,35.163246
